"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/BSD","","","",""
"2011-12-31","0.9953",,,,
"2010-12-31","0.9943",,,,
"2009-12-31","0.9877",,,,
"2008-12-31","0.9877",,,,
"2007-12-31","0.9877",,,,
"2006-12-31","0.9990",,,,
"2005-12-31","0.9948",,,,
"2004-12-31","0.9965",,,,
"2003-12-31","0.9973",,,,
"2002-12-31","0.9935",,,,
"2001-12-31","1.0000",,,,
"2000-12-31","1.0000",,,,
"1999-12-31","0.9989",,,,
"1998-12-31","1.0000",,,,
"1997-12-31","1.0000",,,,
"1996-12-31","1.0000",,,,
"1995-12-31","1.0000",,,,
""
"Period Average","0.9960","","","",""
"Period Low","0.9877","","","",""
"Period High","1.0000","","","",""
