"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/COP","","","",""
"2011-12-31","1,827.4856",,,,
"2010-12-31","1,877.3156",,,,
"2009-12-31","2,129.6367",,,,
"2008-12-31","1,938.9991",,,,
"2007-12-31","2,033.2151",,,,
"2006-12-31","2,296.3752",,,,
"2005-12-31","2,312.7761",,,,
"2004-12-31","2,581.6025",,,,
"2003-12-31","2,813.8737",,,,
"2002-12-31","2,431.3101",,,,
"2001-12-31","2,277.8578",,,,
"2000-12-31","2,087.3270",,,,
"1999-12-31","1,755.9620",,,,
"1998-12-31","1,426.3443",,,,
"1997-12-31","1,141.7632",,,,
"1996-12-31","1,035.7538",,,,
"1995-12-31","993.4416",,,,
""
"Period Average","1,938.8847","","","",""
"Period Low","993.4416","","","",""
"Period High","2,813.8737","","","",""
