"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/DJF","","","",""
"2011-12-31","174.6957",,,,
"2010-12-31","172.5583",,,,
"2009-12-31","172.4708",,,,
"2008-12-31","172.9901",,,,
"2007-12-31","170.8296",,,,
"2006-12-31","166.7023",,,,
"2005-12-31","166.2922",,,,
"2004-12-31","169.0552",,,,
"2003-12-31","169.6771",,,,
"2002-12-31","162.2268",,,,
"2001-12-31","169.4922",,,,
"2000-12-31","172.3334",,,,
"1999-12-31","172.0337",,,,
"1998-12-31","168.7490",,,,
"1997-12-31","161.6384",,,,
"1996-12-31","160.0000",,,,
"1995-12-31","171.7397",,,,
""
"Period Average","169.0285","","","",""
"Period Low","160.0000","","","",""
"Period High","174.6957","","","",""
