"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/GIP","","","",""
"2011-12-31","0.6235",,,,
"2010-12-31","0.6474",,,,
"2009-12-31","0.6410",,,,
"2008-12-31","0.5448",,,,
"2007-12-31","0.4998",,,,
"2006-12-31","0.5595",,,,
"2005-12-31","0.5463",,,,
"2004-12-31","0.5467",,,,
"2003-12-31","0.6203",,,,
"2002-12-31","0.6649",,,,
"2001-12-31","0.6933",,,,
"2000-12-31","0.6583",,,,
"1999-12-31","0.6171",,,,
"1998-12-31","0.6037",,,,
"1997-12-31","0.6092",,,,
"1996-12-31","0.6444",,,,
"1995-12-31","0.6246",,,,
""
"Period Average","0.6085","","","",""
"Period Low","0.4998","","","",""
"Period High","0.6933","","","",""
