"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/LRD","","","",""
"2011-12-31","71.6999",,,,
"2010-12-31","70.5929",,,,
"2009-12-31","67.7730",,,,
"2008-12-31","62.1735",,,,
"2007-12-31","58.6986",,,,
"2006-12-31","56.1493",,,,
"2005-12-31","37.7709",,,,
"2004-12-31","0.9950",,,,
"2003-12-31","0.9950",,,,
"2002-12-31","0.9917",,,,
"2001-12-31","26.3826",,,,
"2000-12-31","0.4250",,,,
"1999-12-31","35.7633",,,,
"1998-12-31","18.7370",,,,
"1997-12-31","1.0000",,,,
"1996-12-31","1.0000",,,,
"1995-12-31","1.0000",,,,
""
"Period Average","30.1263","","","",""
"Period Low","0.4250","","","",""
"Period High","71.6999","","","",""
