"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/MXN","","","",""
"2011-12-31","12.4183",,,,
"2010-12-31","12.6251",,,,
"2009-12-31","13.4849",,,,
"2008-12-31","11.1333",,,,
"2007-12-31","10.9187",,,,
"2006-12-31","10.8916",,,,
"2005-12-31","10.8803",,,,
"2004-12-31","11.2671",,,,
"2003-12-31","10.7762",,,,
"2002-12-31","9.6490",,,,
"2001-12-31","9.3289",,,,
"2000-12-31","9.4531",,,,
"1999-12-31","9.5431",,,,
"1998-12-31","9.1418",,,,
"1997-12-31","7.9146",,,,
"1996-12-31","7.5936",,,,
"1995-12-31","6.2258",,,,
""
"Period Average","10.1909","","","",""
"Period Low","6.2258","","","",""
"Period High","13.4849","","","",""
