"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/KYD","","","",""
"2011-12-31","0.8063",,,,
"2010-12-31","0.8063",,,,
"2009-12-31","0.8132",,,,
"2008-12-31","0.8163",,,,
"2007-12-31","0.8163",,,,
"2006-12-31","0.8163",,,,
"2005-12-31","0.8189",,,,
"2004-12-31","0.8177",,,,
"2003-12-31","0.8189",,,,
"2002-12-31","0.8153",,,,
"2001-12-31","0.8020",,,,
"2000-12-31","0.8020",,,,
"1999-12-31","0.8154",,,,
"1998-12-31","0.8284",,,,
"1997-12-31","0.8282",,,,
"1996-12-31","0.8284",,,,
"1995-12-31","0.8294",,,,
""
"Period Average","0.8164","","","",""
"Period Low","0.8020","","","",""
"Period High","0.8294","","","",""
