"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/ETB","","","",""
"2011-12-31","16.7976",,,,
"2010-12-31","14.2474",,,,
"2009-12-31","11.5338",,,,
"2008-12-31","9.4771",,,,
"2007-12-31","8.7594",,,,
"2006-12-31","8.4219",,,,
"2005-12-31","8.5429",,,,
"2004-12-31","8.3424",,,,
"2003-12-31","8.1857",,,,
"2002-12-31","8.0677",,,,
"2001-12-31","8.2079",,,,
"2000-12-31","8.0800",,,,
"1999-12-31","7.8128",,,,
"1998-12-31","6.9759",,,,
"1997-12-31","6.5003",,,,
"1996-12-31","5.8387",,,,
"1995-12-31","5.7154",,,,
""
"Period Average","8.9122","","","",""
"Period Low","5.7154","","","",""
"Period High","16.7976","","","",""
