"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/JOD","","","",""
"2011-12-31","0.7061",,,,
"2010-12-31","0.7040",,,,
"2009-12-31","0.7042",,,,
"2008-12-31","0.7033",,,,
"2007-12-31","0.7034",,,,
"2006-12-31","0.7040",,,,
"2005-12-31","0.7054",,,,
"2004-12-31","0.7051",,,,
"2003-12-31","0.7045",,,,
"2002-12-31","0.7033",,,,
"2001-12-31","0.7075",,,,
"2000-12-31","0.7083",,,,
"1999-12-31","0.7090",,,,
"1998-12-31","0.7089",,,,
"1997-12-31","0.7083",,,,
"1996-12-31","0.7088",,,,
"1995-12-31","0.6999",,,,
""
"Period Average","0.7055","","","",""
"Period Low","0.6999","","","",""
"Period High","0.7090","","","",""
