"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/XCD","","","",""
"2011-12-31","2.6781",,,,
"2010-12-31","2.6515",,,,
"2009-12-31","2.6301",,,,
"2008-12-31","2.6362",,,,
"2007-12-31","2.6509",,,,
"2006-12-31","2.6529",,,,
"2005-12-31","2.6669",,,,
"2004-12-31","2.6681",,,,
"2003-12-31","2.6662",,,,
"2002-12-31","2.6683",,,,
"2001-12-31","2.6707",,,,
"2000-12-31","2.6917",,,,
"1999-12-31","4.0847",,,,
""
"Period Average","2.7705","","","",""
"Period Low","2.6301","","","",""
"Period High","4.0847","","","",""
